"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","31,800.0","31,700.0","31,950.0","31,500.0","4.23M","0.95%"
"12/28/2023","31,500.0","30,900.0","31,650.0","30,900.0","5.75M","2.11%"
"12/27/2023","30,850.0","30,850.0","31,150.0","30,850.0","2.02M","0.16%"
"12/26/2023","30,800.0","30,850.0","31,000.0","30,750.0","1.51M","-0.48%"
"12/25/2023","30,950.0","30,800.0","31,000.0","30,600.0","2.57M","1.14%"
"12/22/2023","30,600.0","30,500.0","30,800.0","30,450.0","1.85M","-0.16%"
"12/21/2023","30,650.0","30,300.0","30,650.0","30,150.0","2.48M","0.99%"
"12/20/2023","30,350.0","30,300.0","30,550.0","30,150.0","1.75M","-0.82%"
"12/19/2023","30,600.0","30,000.0","30,600.0","29,800.0","2.11M","1.83%"
"12/18/2023","30,050.0","30,600.0","30,650.0","30,050.0","2.38M","-1.80%"
"12/15/2023","30,600.0","30,550.0","30,800.0","30,400.0","2.15M","0.16%"
"12/14/2023","30,550.0","30,800.0","30,850.0","30,550.0","2.55M","0.16%"
"12/13/2023","30,500.0","31,150.0","31,150.0","30,500.0","3.11M","-1.77%"
"12/12/2023","31,050.0","30,850.0","31,050.0","30,750.0","2.17M","0.65%"
"12/11/2023","30,850.0","30,950.0","31,000.0","30,650.0","1.61M","-0.32%"
"12/08/2023","30,950.0","30,850.0","31,000.0","30,600.0","2.75M","0.32%"
"12/07/2023","30,850.0","30,550.0","31,050.0","30,300.0","5.84M","1.48%"
"12/06/2023","30,400.0","30,000.0","30,500.0","30,000.0","2.49M","1.16%"
"12/05/2023","30,050.0","30,250.0","30,300.0","29,900.0","3.09M","-0.50%"
"12/04/2023","30,200.0","29,800.0","30,500.0","29,800.0","4.76M","1.51%"
"12/01/2023","29,750.0","29,600.0","29,850.0","29,350.0","2.70M","0.85%"
"11/30/2023","29,500.0","29,750.0","30,050.0","29,500.0","2.76M","-1.34%"
"11/29/2023","29,900.0","29,900.0","30,300.0","29,600.0","1.78M","-0.17%"
"11/28/2023","29,950.0","29,300.0","29,950.0","28,800.0","3.74M","2.22%"
"11/27/2023","29,300.0","29,950.0","29,950.0","29,300.0","3.05M","-2.50%"
"11/24/2023","30,050.0","30,350.0","30,600.0","29,450.0","4.70M","-1.15%"
"11/23/2023","30,400.0","31,200.0","31,300.0","30,400.0","3.28M","-1.78%"
"11/22/2023","30,950.0","30,900.0","31,000.0","30,650.0","1.84M","0.49%"
"11/21/2023","30,800.0","31,350.0","31,350.0","30,800.0","2.24M","-0.65%"
"11/20/2023","31,000.0","30,500.0","31,250.0","30,450.0","4.32M","-0.48%"
"11/17/2023","31,150.0","31,700.0","31,950.0","30,700.0","5.08M","-1.74%"
"11/16/2023","31,700.0","31,500.0","31,800.0","31,500.0","2.24M","0.48%"
"11/15/2023","31,550.0","32,000.0","32,200.0","31,500.0","3.67M","0.16%"
"11/14/2023","31,500.0","31,150.0","31,750.0","30,900.0","3.98M","1.94%"
"11/13/2023","30,900.0","31,300.0","31,300.0","30,650.0","2.46M","-0.48%"
"11/10/2023","31,050.0","31,200.0","31,500.0","30,700.0","4.07M","-1.43%"
"11/09/2023","31,500.0","31,850.0","31,950.0","31,300.0","4.25M","-0.94%"
"11/08/2023","31,800.0","30,600.0","31,900.0","30,200.0","3.87M","3.92%"
"11/07/2023","30,600.0","30,600.0","30,950.0","30,450.0","1.51M","-1.29%"
"11/06/2023","31,000.0","30,800.0","31,000.0","30,300.0","3.30M","0.00%"
"11/03/2023","31,000.0","29,950.0","31,000.0","29,550.0","8.10M","5.62%"
"11/02/2023","29,350.0","28,800.0","29,600.0","28,500.0","4.71M","4.08%"
"11/01/2023","28,200.0","28,300.0","28,450.0","27,450.0","4.48M","1.81%"
"10/31/2023","27,700.0","28,200.0","28,500.0","27,200.0","6.09M","-1.42%"
"10/30/2023","28,100.0","29,200.0","29,250.0","28,100.0","6.59M","-4.91%"
"10/27/2023","29,550.0","30,000.0","30,400.0","29,100.0","3.87M","-0.84%"
"10/26/2023","29,800.0","30,800.0","30,950.0","29,200.0","6.68M","-4.49%"
"10/25/2023","31,200.0","31,200.0","31,600.0","31,200.0","2.12M","-0.48%"
"10/24/2023","31,350.0","31,350.0","31,800.0","31,050.0","2.17M","1.46%"
"10/23/2023","30,900.0","31,100.0","31,500.0","30,500.0","2.79M","-0.64%"
"10/20/2023","31,100.0","30,700.0","31,400.0","30,550.0","2.43M","1.47%"
"10/19/2023","30,650.0","31,250.0","31,400.0","30,650.0","2.79M","-1.92%"
"10/18/2023","31,250.0","31,750.0","31,800.0","31,000.0","4.72M","-1.57%"
"10/17/2023","31,750.0","31,950.0","32,200.0","31,750.0","1.82M","-0.16%"
"10/16/2023","31,800.0","32,050.0","32,300.0","31,800.0","2.48M","-1.24%"
"10/13/2023","32,200.0","32,400.0","32,450.0","32,000.0","1.95M","-0.92%"
"10/12/2023","32,500.0","32,700.0","32,850.0","32,500.0","2.46M","-0.31%"
"10/11/2023","32,600.0","32,650.0","32,650.0","32,300.0","2.20M","0.31%"
"10/10/2023","32,500.0","32,300.0","32,650.0","32,250.0","2.66M","1.25%"
"10/09/2023","32,100.0","32,100.0","32,150.0","31,900.0","2.79M","0.16%"
"10/06/2023","32,050.0","31,750.0","32,250.0","31,600.0","2.55M","0.79%"
"10/05/2023","31,800.0","32,350.0","32,600.0","31,800.0","2.44M","-1.40%"
"10/04/2023","32,250.0","32,250.0","32,650.0","32,000.0","2.80M","-0.77%"
"10/03/2023","32,500.0","32,900.0","32,900.0","31,900.0","4.65M","-1.96%"
"10/02/2023","33,150.0","33,650.0","33,650.0","33,000.0","2.14M","-1.49%"
"09/29/2023","33,650.0","33,500.0","33,700.0","33,100.0","2.91M","0.00%"
"09/28/2023","33,650.0","32,600.0","33,900.0","31,850.0","6.56M","3.22%"
"09/27/2023","32,600.0","32,250.0","32,600.0","32,250.0","3.55M","0.62%"
"09/26/2023","32,400.0","32,800.0","33,000.0","32,400.0","4.76M","-1.22%"
"09/25/2023","32,800.0","34,000.0","34,200.0","32,750.0","4.23M","-3.53%"
"09/22/2023","34,000.0","33,950.0","34,250.0","33,400.0","7.54M","-0.87%"
"09/21/2023","34,300.0","34,350.0","34,500.0","34,000.0","3.17M","-0.15%"
"09/20/2023","34,350.0","33,900.0","34,500.0","33,850.0","3.43M","1.33%"
"09/19/2023","33,900.0","34,300.0","34,350.0","33,800.0","5.86M","-0.59%"
"09/18/2023","34,100.0","34,850.0","35,000.0","34,000.0","7.73M","-2.29%"
"09/15/2023","34,900.0","35,100.0","35,500.0","34,900.0","4.52M","0.00%"
"09/14/2023","34,900.0","35,100.0","35,750.0","34,900.0","7.64M","-0.29%"
"09/13/2023","35,000.0","35,400.0","35,450.0","34,850.0","4.98M","-0.85%"
"09/12/2023","35,300.0","34,550.0","35,300.0","34,400.0","4.94M","2.17%"
"09/11/2023","34,550.0","35,600.0","35,600.0","34,450.0","10.81M","-2.26%"
"09/08/2023","35,350.0","35,850.0","35,900.0","35,350.0","4.60M","-1.12%"
"09/07/2023","35,750.0","35,250.0","36,150.0","35,100.0","9.04M","1.56%"
"09/06/2023","35,200.0","35,050.0","35,350.0","34,850.0","4.65M","0.57%"
"09/05/2023","35,000.0","34,800.0","35,150.0","34,750.0","8.00M","1.45%"
"08/31/2023","34,500.0","34,100.0","34,500.0","34,100.0","4.12M","1.47%"
