"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2023","26,176.5","25,594.8","26,176.5","25,281.6","3.28M","2.45%"
"11/07/2023","25,550.1","25,415.8","25,684.3","25,326.3","2.55M","0.00%"
"11/06/2023","25,550.1","25,371.1","25,684.3","25,371.1","2.61M","1.96%"
"11/03/2023","25,057.8","25,415.8","25,460.6","25,057.8","3.98M","-0.89%"
"11/02/2023","25,281.6","24,699.9","25,505.3","24,699.9","2.65M","3.10%"
"11/01/2023","24,520.9","24,878.9","24,878.9","24,431.4","3.40M","-1.08%"
"10/31/2023","24,789.4","24,834.1","25,057.8","24,699.9","3.17M","0.18%"
"10/30/2023","24,744.6","24,744.6","25,236.8","24,744.6","1.93M","-1.95%"
"10/27/2023","25,236.8","25,371.1","25,460.6","24,834.1","3.24M","-0.53%"
"10/26/2023","25,371.1","25,371.1","25,550.1","24,655.1","6.68M","-2.24%"
"10/25/2023","25,952.8","26,221.2","26,400.2","25,908.0","1.95M","-1.69%"
"10/24/2023","26,400.2","26,221.2","26,400.2","25,997.5","2.76M","0.68%"
"10/23/2023","26,221.2","26,310.7","26,310.7","25,773.8","1.77M","-0.34%"
"10/20/2023","26,310.7","25,460.6","26,624.0","24,968.4","4.02M","2.80%"
"10/19/2023","25,594.8","25,371.1","25,594.8","25,057.8","2.02M","0.88%"
"10/18/2023","25,371.1","25,594.8","25,773.8","25,102.6","2.37M","-0.87%"
"10/17/2023","25,594.8","25,952.8","26,087.0","25,594.8","1.84M","-0.69%"
"10/16/2023","25,773.8","26,176.5","26,221.2","25,773.8","2.26M","-1.71%"
"10/13/2023","26,221.2","26,221.2","26,489.7","25,952.8","1.63M","-1.01%"
"10/12/2023","26,489.7","26,579.2","26,624.0","26,266.0","2.34M","0.34%"
"10/11/2023","26,400.2","26,221.2","26,400.2","25,997.5","1.97M","0.68%"
"10/10/2023","26,221.2","26,266.0","26,445.0","26,131.8","3.32M","0.51%"
"10/09/2023","26,087.0","25,639.5","26,131.8","25,639.5","2.13M","1.57%"
"10/06/2023","25,684.3","25,505.3","25,729.0","24,923.6","3.52M","2.14%"
"10/05/2023","25,147.3","25,997.5","26,087.0","25,147.3","5.46M","-2.77%"
"10/04/2023","25,863.3","25,684.3","26,042.3","25,594.8","3.44M","-0.69%"
"10/03/2023","26,042.3","26,400.2","26,400.2","25,729.0","8.61M","-2.84%"
"10/02/2023","26,802.9","26,937.2","27,160.9","25,013.1","5.96M","-0.33%"
"09/29/2023","26,892.4","27,339.9","27,787.4","26,892.4","5.98M","-2.59%"
"09/28/2023","27,608.4","27,474.1","27,742.6","25,818.5","8.80M","-0.48%"
"09/27/2023","27,742.6","27,205.7","27,742.6","26,847.7","4.08M","2.31%"
"09/26/2023","27,116.2","26,758.2","27,608.4","26,624.0","5.87M","1.68%"
"09/25/2023","26,668.7","28,145.3","28,369.1","26,668.7","7.51M","-5.85%"
"09/22/2023","28,324.3","28,190.1","28,413.8","27,742.6","9.19M","-0.16%"
"09/21/2023","28,369.1","28,727.0","28,771.8","28,369.1","6.70M","-1.09%"
"09/20/2023","28,682.3","28,727.0","28,950.8","28,413.8","7.45M","-0.16%"
"09/19/2023","28,727.0","28,682.3","28,861.3","28,234.8","5.46M","0.16%"
"09/18/2023","28,682.3","29,308.7","29,308.7","28,458.6","9.72M","-2.14%"
"09/15/2023","29,308.7","29,622.0","29,979.9","29,219.2","7.25M","-1.36%"
"09/14/2023","29,711.4","29,308.7","30,114.2","29,308.7","15.78M","2.00%"
"09/13/2023","29,129.7","28,906.0","29,308.7","28,592.8","8.94M","0.77%"
"09/12/2023","28,906.0","28,637.5","28,906.0","28,413.8","4.39M","1.25%"
"09/11/2023","28,548.0","29,085.0","29,308.7","28,458.6","8.37M","-1.24%"
"09/08/2023","28,906.0","29,264.0","29,264.0","28,906.0","4.11M","-1.07%"
"09/07/2023","29,219.2","29,264.0","29,800.9","29,219.2","8.69M","0.00%"
"09/06/2023","29,219.2","29,264.0","29,308.7","28,861.3","4.99M","0.00%"
"09/05/2023","29,219.2","29,085.0","29,532.5","29,085.0","6.67M","0.62%"
"08/31/2023","29,040.3","28,771.8","29,174.5","28,771.8","5.89M","1.09%"
"08/30/2023","28,727.0","28,145.3","28,727.0","28,145.3","8.26M","2.72%"
"08/29/2023","27,966.3","28,100.6","28,458.6","27,966.3","4.16M","0.32%"
"08/28/2023","27,876.9","27,787.4","28,011.1","27,742.6","6.05M","0.00%"
"08/25/2023","27,876.9","28,413.8","28,413.8","27,787.4","9.64M","-1.89%"
"08/24/2023","28,413.8","28,190.1","28,548.0","27,832.1","5.63M","1.44%"
"08/23/2023","28,011.1","28,324.3","28,413.8","27,787.4","4.89M","-0.79%"
"08/22/2023","28,234.8","28,637.5","28,682.3","27,653.1","6.48M","-1.41%"
"08/21/2023","28,637.5","27,653.1","28,906.0","27,384.6","11.08M","4.23%"
"08/18/2023","27,474.1","28,906.0","29,040.3","27,474.1","15.30M","-5.83%"
"08/17/2023","29,174.5","28,995.5","29,443.0","28,861.3","10.91M","0.77%"
"08/16/2023","28,950.8","28,816.5","29,264.0","28,548.0","7.12M","-0.15%"
"08/15/2023","28,995.5","28,906.0","28,995.5","28,682.3","5.86M","0.31%"
"08/14/2023","28,906.0","28,727.0","28,995.5","28,369.1","7.12M","0.62%"
"08/11/2023","28,727.0","28,413.8","28,771.8","28,011.1","7.72M","1.42%"
"08/10/2023","28,324.3","29,085.0","29,219.2","28,279.6","8.93M","-2.62%"
"08/09/2023","29,085.0","29,085.0","29,174.5","28,682.3","8.96M","-0.31%"
"08/08/2023","29,174.5","29,398.2","29,398.2","28,906.0","9.79M","0.00%"
"08/07/2023","29,174.5","28,145.3","29,174.5","27,966.3","14.53M","5.16%"
"08/04/2023","27,742.6","27,742.6","27,742.6","27,429.4","8.44M","0.32%"
"08/03/2023","27,653.1","27,697.9","27,832.1","27,474.1","9.03M","-0.48%"
"08/02/2023","27,787.4","27,295.2","27,876.9","27,295.2","14.91M","2.14%"
"08/01/2023","27,205.7","27,026.7","27,563.6","26,937.2","15.92M","1.33%"
"07/31/2023","26,847.7","26,758.2","26,847.7","26,489.7","6.44M","1.70%"
"07/28/2023","26,400.2","26,310.7","26,400.2","26,221.2","5.83M","0.51%"
"07/27/2023","26,266.0","26,713.5","26,758.2","26,221.2","8.85M","-1.51%"
"07/26/2023","26,668.7","26,802.9","26,892.4","26,579.2","6.20M","-0.33%"
"07/25/2023","26,758.2","26,802.9","27,116.2","26,713.5","6.81M","0.17%"
"07/24/2023","26,713.5","26,758.2","26,937.2","26,624.0","5.77M","0.51%"
"07/21/2023","26,579.2","26,534.5","26,668.7","26,400.2","6.19M","0.17%"
"07/20/2023","26,534.5","26,758.2","26,758.2","26,445.0","5.13M","-0.84%"
"07/19/2023","26,758.2","26,847.7","26,892.4","26,400.2","7.53M","0.17%"
"07/18/2023","26,713.5","26,579.2","26,847.7","26,579.2","5.11M","0.51%"
"07/17/2023","26,579.2","26,758.2","26,802.9","26,445.0","7.35M","-0.67%"
"07/14/2023","26,758.2","26,847.7","27,026.7","26,310.7","8.90M","-0.33%"
"07/13/2023","26,847.7","27,026.7","27,026.7","26,713.5","5.93M","0.00%"
"07/12/2023","26,847.7","27,116.2","27,205.7","26,668.7","7.06M","-0.99%"
"07/11/2023","27,116.2","26,802.9","27,384.6","26,802.9","16.21M","2.02%"
"07/10/2023","26,579.2","26,624.0","26,668.7","26,400.2","7.78M","0.34%"
"07/07/2023","26,489.7","26,176.5","26,489.7","25,997.5","4.37M","0.85%"
"07/06/2023","26,266.0","26,445.0","26,489.7","25,818.5","7.09M","-0.68%"
"07/05/2023","26,445.0","26,445.0","26,579.2","26,266.0","4.02M","0.34%"
"07/04/2023","26,355.5","26,087.0","26,400.2","25,997.5","5.70M","0.68%"
"07/03/2023","26,176.5","26,400.2","26,489.7","26,131.8","3.55M","-0.85%"
"06/30/2023","26,400.2","26,579.2","26,624.0","26,266.0","6.26M","-1.34%"
"06/29/2023","26,758.2","26,847.7","26,937.2","26,400.2","5.81M","-0.33%"
"06/28/2023","26,847.7","26,310.7","27,026.7","26,266.0","9.65M","2.21%"
"06/27/2023","26,266.0","26,221.2","26,266.0","25,952.8","4.09M","0.34%"
"06/26/2023","26,176.5","25,997.5","26,355.5","25,863.3","7.22M","0.00%"
"06/23/2023","26,176.5","26,400.2","26,445.0","26,087.0","5.57M","-0.68%"
"06/22/2023","26,355.5","26,221.2","26,534.5","26,131.8","5.70M","1.03%"
"06/21/2023","26,087.0","26,042.3","26,221.2","25,818.5","5.11M","-0.17%"
"06/20/2023","26,131.8","25,639.5","26,131.8","25,550.1","3.11M","2.10%"
"06/19/2023","25,594.8","25,550.1","25,818.5","25,550.1","3.80M","0.35%"
"06/16/2023","25,505.3","25,997.5","26,131.8","25,505.3","8.31M","-1.72%"
"06/15/2023","25,952.8","25,684.3","26,266.0","25,684.3","8.03M","1.05%"
"06/14/2023","25,684.3","25,460.6","26,131.8","25,460.6","9.41M","1.41%"
"06/13/2023","25,326.3","25,371.1","25,460.6","25,236.8","3.59M","-0.35%"
"06/12/2023","25,415.8","25,415.8","25,460.6","24,923.6","6.30M","0.18%"
"06/09/2023","25,371.1","25,550.1","25,639.5","25,147.3","6.83M","-0.70%"
"06/08/2023","25,550.1","25,863.3","25,952.8","25,550.1","5.77M","-1.21%"
"06/07/2023","25,863.3","25,818.5","26,131.8","25,729.0","7.09M","0.70%"
"06/06/2023","25,684.3","25,818.5","25,952.8","25,594.8","5.93M","-0.17%"
"06/05/2023","25,729.0","25,863.3","25,997.5","25,639.5","4.97M","0.35%"
"06/02/2023","25,639.5","25,102.6","25,729.0","25,057.8","9.98M","2.50%"
"06/01/2023","25,013.1","25,057.8","25,147.3","24,923.6","2.68M","-0.18%"
"05/31/2023","25,057.8","25,102.6","25,102.6","24,878.9","3.03M","-0.18%"
"05/30/2023","25,102.6","25,147.3","25,192.1","24,968.4","3.29M","0.18%"
"05/29/2023","25,057.8","24,878.9","25,192.1","24,878.9","3.20M","0.72%"
"05/26/2023","24,878.9","24,699.9","24,878.9","24,610.4","1.99M","0.72%"
"05/25/2023","24,699.9","24,744.6","24,878.9","24,655.1","3.46M","-0.54%"
"05/24/2023","24,834.1","25,057.8","25,057.8","24,699.9","4.27M","-0.54%"
"05/23/2023","24,968.4","25,147.3","25,147.3","24,789.4","4.52M","-0.18%"
"05/22/2023","25,013.1","25,057.8","25,236.8","25,013.1","3.43M","-0.18%"
"05/19/2023","25,057.8","24,968.4","25,236.8","24,744.6","2.33M","0.90%"
"05/18/2023","24,834.1","24,789.4","24,968.4","24,610.4","5.19M","0.91%"
"05/17/2023","24,610.4","25,057.8","25,147.3","24,610.4","5.86M","-1.61%"
"05/16/2023","25,013.1","25,236.8","25,281.6","25,013.1","3.39M","-0.53%"
"05/15/2023","25,147.3","25,505.3","25,639.5","25,147.3","7.63M","-1.06%"
"05/12/2023","25,415.8","25,371.1","25,415.8","25,192.1","4.32M","0.18%"
"05/11/2023","25,371.1","25,415.8","25,460.6","25,281.6","3.33M","0.35%"
"05/10/2023","25,281.6","25,102.6","25,281.6","25,013.1","6.20M","0.89%"
"05/09/2023","25,057.8","25,102.6","25,281.6","25,057.8","3.21M","0.36%"
