"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","37,093.0","36,960.0","37,448.0","36,915.0","661.38K","0.72%"
"11/03/2023","36,827.0","37,492.0","37,492.0","36,827.0","634.90K","-0.36%"
"11/02/2023","36,960.0","36,250.0","36,960.0","36,028.0","777.79K","4.12%"
"11/01/2023","35,496.0","36,294.0","36,294.0","35,229.0","395.43K","-0.50%"
"10/31/2023","35,673.0","36,383.0","36,827.0","35,673.0","614.16K","-1.95%"
"10/30/2023","36,383.0","37,182.0","37,182.0","36,383.0","609.20K","-2.38%"
"10/27/2023","37,270.0","35,984.0","37,270.0","35,673.0","1.01M","3.57%"
"10/26/2023","35,984.0","35,496.0","36,294.0","34,608.0","2.23M","-0.49%"
"10/25/2023","36,161.0","36,649.0","36,915.0","36,161.0","835.94K","-1.33%"
"10/24/2023","36,649.0","35,629.0","36,782.0","35,629.0","1.03M","2.48%"
"10/23/2023","35,762.0","35,762.0","35,939.0","35,584.0","796.49K","-0.49%"
"10/20/2023","35,939.0","35,673.0","35,939.0","35,096.0","1.10M","0.75%"
"10/19/2023","35,673.0","35,673.0","36,028.0","35,229.0","1.32M","0.50%"
"10/18/2023","35,496.0","36,649.0","36,694.0","35,496.0","1.64M","-3.15%"
"10/17/2023","36,649.0","37,182.0","37,448.0","36,649.0","1.10M","-0.84%"
"10/16/2023","36,960.0","37,714.0","37,714.0","36,605.0","1.10M","-2.00%"
"10/13/2023","37,714.0","37,448.0","37,714.0","37,359.0","1.16M","0.83%"
"10/12/2023","37,403.0","37,315.0","37,625.0","37,182.0","1.14M","0.36%"
"10/11/2023","37,270.0","37,714.0","37,714.0","37,049.0","1.26M","-0.12%"
"10/10/2023","37,315.0","37,448.0","37,714.0","37,182.0","987.84K","0.24%"
"10/09/2023","37,226.0","37,448.0","37,537.0","37,093.0","788.61K","-0.59%"
"10/06/2023","37,448.0","36,915.0","37,714.0","36,560.0","625.66K","1.44%"
"10/05/2023","36,915.0","37,714.0","38,025.0","36,871.0","592.86K","-2.12%"
"10/04/2023","37,714.0","36,383.0","38,113.0","36,383.0","1.01M","2.29%"
"10/03/2023","36,871.0","38,735.0","38,823.0","36,871.0","1.51M","-5.46%"
"10/02/2023","39,001.0","39,356.0","39,622.0","38,868.0","775.42K","-0.90%"
"09/29/2023","39,356.0","39,400.0","39,711.0","39,223.0","611.46K","0.00%"
"09/28/2023","39,356.0","39,356.0","39,666.0","39,267.0","783.87K","-0.11%"
"09/27/2023","39,400.0","39,356.0","39,666.0","39,267.0","1.22M","0.11%"
"09/26/2023","39,356.0","40,199.0","40,199.0","39,223.0","1.26M","-1.66%"
"09/25/2023","40,021.0","40,864.0","40,864.0","39,844.0","1.17M","-2.06%"
"09/22/2023","40,864.0","39,755.0","40,864.0","39,223.0","2.05M","1.88%"
"09/21/2023","40,110.0","40,554.0","40,864.0","40,021.0","1.03M","-1.09%"
"09/20/2023","40,554.0","40,110.0","40,554.0","40,021.0","758.74K","1.11%"
"09/19/2023","40,110.0","40,642.0","40,953.0","39,933.0","1.34M","-1.20%"
"09/18/2023","40,598.0","41,707.0","41,707.0","40,199.0","1.63M","-2.24%"
"09/15/2023","41,530.0","41,707.0","42,062.0","41,530.0","1.19M","0.11%"
"09/14/2023","41,485.0","41,707.0","42,506.0","41,485.0","2.11M","-0.53%"
"09/13/2023","41,707.0","41,796.0","42,018.0","41,264.0","1.35M","0.00%"
"09/12/2023","41,707.0","41,485.0","41,707.0","41,175.0","1.12M","1.07%"
"09/11/2023","41,264.0","42,062.0","42,062.0","40,820.0","1.09M","-1.06%"
"09/08/2023","41,707.0","42,151.0","42,195.0","41,663.0","1.80M","-0.74%"
"09/07/2023","42,018.0","42,151.0","42,728.0","41,885.0","1.32M","0.10%"
"09/06/2023","41,974.0","42,329.0","42,329.0","41,840.0","1.33M","-0.42%"
"09/05/2023","42,151.0","41,707.0","42,329.0","41,707.0","1.54M","1.17%"
"08/31/2023","41,663.0","41,131.0","41,663.0","41,086.0","1.88M","1.62%"
"08/30/2023","40,997.0","40,820.0","41,352.0","40,642.0","1.27M","0.87%"
"08/29/2023","40,642.0","40,288.0","40,909.0","40,243.0","1.53M","0.88%"
"08/28/2023","40,288.0","40,243.0","40,731.0","40,199.0","834.24K","0.44%"
"08/25/2023","40,110.0","40,642.0","40,642.0","39,977.0","1.32M","-1.31%"
"08/24/2023","40,642.0","40,554.0","40,909.0","40,243.0","1.53M","0.22%"
"08/23/2023","40,554.0","40,997.0","40,997.0","40,288.0","1.54M","-0.22%"
"08/22/2023","40,642.0","39,844.0","40,776.0","39,489.0","1.45M","0.44%"
"08/21/2023","40,465.0","39,578.0","41,574.0","39,489.0","2.04M","3.17%"
"08/18/2023","39,223.0","41,796.0","41,796.0","39,134.0","3.21M","-6.16%"
"08/17/2023","41,796.0","42,151.0","42,329.0","41,796.0","1.88M","-0.84%"
"08/16/2023","42,151.0","41,663.0","42,240.0","41,619.0","1.53M","1.06%"
"08/15/2023","41,707.0","42,062.0","42,240.0","41,574.0","1.87M","-1.26%"
"08/14/2023","42,240.0","41,707.0","42,284.0","41,397.0","2.39M","1.93%"
"08/11/2023","41,441.0","41,264.0","41,619.0","40,465.0","2.37M","0.43%"
"08/10/2023","41,264.0","42,772.0","42,950.0","41,264.0","2.94M","-3.53%"
"08/09/2023","42,772.0","43,172.0","43,305.0","42,639.0","2.03M","-0.93%"
"08/08/2023","43,172.0","43,393.0","43,881.0","43,083.0","2.37M","-0.41%"
